t_s,x_m,y_m,z_m,vx_m_s,vy_m_s,vz_m_s,energy_J,status
740.0,99999996366.26765,22199999.731093906,0.0,-9.820897624661077,29999.9989098402,0.0,-877172568.7866383,ok
750.0,99999996267.39511,22499999.720044326,0.0,-9.95361245731429,29999.998880177343,0.0,-877172568.7866383,ok
760.0,99999996167.19542,22799999.708696127,0.0,-10.086327289962972,29999.998850116324,0.0,-877172568.7866381,ok
770.0,99999996065.66858,23099999.697045326,0.0,-10.219042122607064,29999.998819657147,0.0,-877172568.7866383,ok
780.0,99999995962.81459,23399999.68508794,0.0,-10.351756955246506,29999.99878879981,0.0,-877172568.786638,ok
790.0,99999995858.63345,23699999.672819994,0.0,-10.484471787881239,29999.998757544316,0.0,-877172568.786638,ok
800.0,99999995753.12517,23999999.660237502,0.0,-10.6171866205112,29999.998725890662,0.0,-877172568.7866381,ok
810.0,99999995646.28973,24299999.647336483,0.0,-10.74990145313633,29999.99869383885,0.0,-877172568.7866378,ok
820.0,99999995538.12715,24599999.634112954,0.0,-10.882616285756567,29999.998661388876,0.0,-877172568.7866375,ok
830.0,99999995428.63742,24899999.620562933,0.0,-11.015331118371853,29999.998628540743,0.0,-877172568.7866377,ok
840.0,99999995317.82054,25199999.606682442,0.0,-11.148045950982127,29999.99859529445,0.0,-877172568.7866375,ok
850.0,99999995205.67651,25499999.592467498,0.0,-11.280760783587327,29999.99856165,0.0,-877172568.7866375,ok
860.0,99999995092.20534,25799999.577914115,0.0,-11.413475616187394,29999.998527607393,0.0,-877172568.7866373,ok
870.0,99999994977.40701,26099999.56301832,0.0,-11.546190448782268,29999.998493166626,0.0,-877172568.7866373,ok
880.0,99999994861.28154,26399999.54777612,0.0,-11.678905281371886,29999.998458327696,0.0,-877172568.7866374,ok
890.0,99999994743.82892,26699999.532183547,0.0,-11.811620113956192,29999.99842309061,0.0,-877172568.7866371,ok
900.0,99999994625.04915,26999999.516236607,0.0,-11.944334946535122,29999.99838745536,0.0,-877172568.7866373,ok
910.0,99999994504.94223,27299999.499931324,0.0,-12.077049779108616,29999.998351421957,0.0,-877172568.7866371,ok
920.0,99999994383.50816,27599999.483263716,0.0,-12.209764611676615,29999.998314990393,0.0,-877172568.7866368,ok
930.0,99999994260.74695,27899999.466229804,0.0,-12.342479444239059,29999.99827816067,0.0,-877172568.7866368,ok
940.0,99999994136.65858,28199999.4488256,0.0,-12.475194276795886,29999.998240932786,0.0,-877172568.7866368,ok
950.0,99999994011.24307,28499999.43104713,0.0,-12.607909109347036,29999.998203306743,0.0,-877172568.7866367,ok
960.0,99999993884.50041,28799999.41289041,0.0,-12.740623941892448,29999.99816528254,0.0,-877172568.7866371,ok
970.0,99999993756.4306,29099999.394351453,0.0,-12.873338774432064,29999.99812686018,0.0,-877172568.7866368,ok
980.0,99999993627.03365,29399999.375426285,0.0,-13.006053606965821,29999.99808803966,0.0,-877172568.7866366,ok
990.0,99999993496.30954,29699999.35611092,0.0,-13.13876843949366,29999.998048820984,0.0,-877172568.7866366,ok
1000.0,99999993364.25829,29999999.336401377,0.0,-13.27148327201552,29999.998009204144,0.0,-877172568.7866368,ok
1010.0,99999993230.87988,30299999.316293675,0.0,-13.404198104531341,29999.997969189146,0.0,-877172568.7866366,ok
1020.0,99999993096.17433,30599999.295783833,0.0,-13.536912937041063,29999.99792877599,0.0,-877172568.7866364,ok
1030.0,99999992960.14163,30899999.274867866,0.0,-13.669627769544624,29999.997887964673,0.0,-877172568.7866364,ok
1040.0,99999992822.78178,31199999.253541797,0.0,-13.802342602041964,29999.9978467552,0.0,-877172568.7866364,ok
1050.0,99999992684.09479,31499999.231801644,0.0,-13.935057434533025,29999.997805147566,0.0,-877172568.7866362,ok
1060.0,99999992544.08064,31799999.209643424,0.0,-14.067772267017745,29999.99776314177,0.0,-877172568.7866364,ok
1070.0,99999992402.73935,32099999.187063154,0.0,-14.200487099496062,29999.997720737818,0.0,-877172568.7866364,ok
1080.0,99999992260.0709,32399999.164056852,0.0,-14.333201931967919,29999.997677935706,0.0,-877172568.7866365,ok
1090.0,99999992116.07532,32699999.14062054,0.0,-14.465916764433253,29999.997634735435,0.0,-877172568.7866361,ok
1100.0,99999991970.75258,32999999.116750237,0.0,-14.598631596892004,29999.997591137006,0.0,-877172568.7866364,ok
1110.0,99999991824.10269,33299999.092441954,0.0,-14.73134642934411,29999.997547140418,0.0,-877172568.7866361,ok
1120.0,99999991676.12566,33599999.06769171,0.0,-14.864061261789516,29999.997502745668,0.0,-877172568.7866361,ok
1130.0,99999991526.82147,33899999.042495534,0.0,-14.996776094228156,29999.99745795276,0.0,-877172568.7866358,ok
1140.0,99999991376.19014,34199999.016849436,0.0,-15.129490926659972,29999.99741276169,0.0,-877172568.7866359,ok
1150.0,99999991224.23166,34499998.99074944,0.0,-15.262205759084905,29999.997367172466,0.0,-877172568.7866359,ok
1160.0,99999991070.94603,34799998.96419156,0.0,-15.394920591502892,29999.99732118508,0.0,-877172568.7866359,ok
1170.0,99999990916.33325,35099998.93717182,0.0,-15.527635423913873,29999.997274799538,0.0,-877172568.7866359,ok
1180.0,99999990760.39333,35399998.90968622,0.0,-15.66035025631779,29999.997228015833,0.0,-877172568.7866359,ok
1190.0,99999990603.12625,35699998.8817308,0.0,-15.79306508871458,29999.99718083397,0.0,-877172568.7866359,ok
1200.0,99999990444.53203,35999998.85330158,0.0,-15.925779921104182,29999.997133253946,0.0,-877172568.7866359,ok
1210.0,99999990284.61066,36299998.824394554,0.0,-16.05849475348654,29999.997085275765,0.0,-877172568.7866358,ok
1220.0,99999990123.36214,36599998.79500576,0.0,-16.191209585861586,29999.997036899425,0.0,-877172568.7866354,ok
1230.0,99999989960.78647,36899998.76513121,0.0,-16.323924418229268,29999.996988124924,0.0,-877172568.7866356,ok
1240.0,99999989796.88365,37199998.73476693,0.0,-16.45663925058952,29999.996938952263,0.0,-877172568.7866356,ok
